"광주광역시","울산광역시",437,32,428,98,642,265,448,69,518,112,538,56,398,-18,322,-70,342,-67,355,47,355,-17,257,-95,338,63
"광주광역시","세종특별자치시",-,-,-,-,278,192,239,128,593,398,926,690,706,469,777,451,897,583,754,368,837,330,794,334,609,182
"광주광역시","경기도",13061,1383,11716,322,11920,634,10895,1044,11972,1221,10788,1465,10004,1772,9812,2073,10740,3323,10264,2968,10631,3313,10116,2852,8687,2090
"광주광역시","강원도",1077,195,891,30,872,29,899,94,954,126,1029,84,827,76,859,129,730,19,783,157,826,141,845,117,772,166
"광주광역시","충청북도",831,-75,931,95,849,66,782,66,945,41,970,259,848,201,910,230,1028,299,1023,225,997,228,1067,203,959,237
"광주광역시","충청남도",1900,346,2083,466,1858,369,1843,393,2215,418,2053,585,1966,539,1986,539,2016,581,1780,363,1954,522,1910,404,1896,598
"광주광역시","전라북도",5742,-613,5785,-520,5972,76,5549,-177,5798,-423,5632,-28,5618,-115,5288,-388,5072,-1114,4940,-997,5537,-260,5239,-450,4805,-301
"광주광역시","전라남도",37069,-6084,36775,-3894,34736,-2146,33736,-1762,37356,-1586,40882,3304,35818,1311,35140,1256,35234,-1967,33024,-4118,33145,-2791,31992,-1295,27614,182
"광주광역시","경상북도",850,20,881,113,856,63,819,47,981,134,1008,88,835,104,829,45,826,-15,766,-14,770,-42,839,59,809,71
"광주광역시","경상남도",1520,-30,1605,153,1457,-76,1475,103,1767,353,1643,188,1453,133,1242,-102,1284,-212,1142,-15,1233,-132,1216,-210,1072,-167
"광주광역시","제주특별자치도",711,-90,761,36,769,4,822,55,1017,349,1156,363,1129,388,1191,293,1178,252,1024,114,1069,53,982,77,928,-3
"대전광역시","전국",263477,1045,260900,-3344,239136,-499,230547,-311,248397,8838,241390,20616,229883,10631,227624,16175,227632,14753,228766,16342,243418,11097,220496,8931,201701,2996
"대전광역시","서울특별시",15793,1974,14890,990,14570,490,14156,716,14172,769,13559,106,13726,1107,14118,2303,14221,2630,14725,3966,15116,4083,13854,2710,13169,2715
"대전광역시","부산광역시",1976,-290,2074,-437,2013,-423,1986,-139,2190,40,2054,-155,1807,-404,1762,-397,1608,-572,1743,-429,1855,-289,1796,-328,1693,-365
"대전광역시","대구광역시",1757,-199,1848,-215,1734,-410,1762,-457,1818,-436,1667,-418,1710,-239,1524,-454,1525,-542,1473,-694,1608,-646,1502,-737,1498,-628
"대전광역시","인천광역시",2762,173,2782,-38,2812,-61,2662,-11,2621,-115,2516,-240,2463,-153,2458,-94,2577,314,2567,208,2594,118,2511,104,2469,207
"대전광역시","광주광역시",1512,-121,1261,-444,1130,-445,1247,-363,1248,-417,1321,-160,1089,-448,1026,-357,1135,-340,1091,-298,1150,-369,1124,-226,1052,-406
"대전광역시","대전광역시",175962,0,175460,0,152381,0,148793,0,156961,0,139609,0,138876,0,131656,0,133318,0,133995,0,150580,0,131535,0,123284,0
"대전광역시","울산광역시",745,-184,728,-127,952,89,822,43,909,70,939,49,662,-322,621,-286,595,-249,641,-156,700,-165,601,-242,531,-288
"대전광역시","세종특별자치시",-,-,-,-,8907,6540,4012,1662,14093,11349,25788,22104,17575,12969,23707,17836,22180,15815,20314,13282,15425,7171,14044,6668,10642,3618
"대전광역시","경기도",18022,1654,16492,-55,15967,-940,15775,-57,15189,2,15354,88,15141,555,14807,872,15399,1987,16320,3248,16584,3854,16071,3015,13694,434
"대전광역시","강원도",2603,-373,2877,-405,2411,-846,2737,-258,2400,-467,2423,-479,2213,-570,2302,-380,2094,-435,2297,-174,2217,-127,2251,-211,1954,-286
"대전광역시","충청북도",8847,-6,8847,-273,8116,-687,8308,-134,8256,-296,8265,516,7748,-169,7653,-361,7902,-3,8280,414,8869,526,8738,56,7479,-290
"대전광역시","충청남도",21192,-149,21076,-418,16747,-1379,16924,422,16552,-485,16030,479,15824,526,15321,239,14673,-676,14453,-573,15797,-181,15288,549,13880,779
"대전광역시","전라북도",4300,-514,4478,-693,3952,-836,3761,-748,4116,-456,3766,-630,3552,-751,3627,-977,3358,-1276,3424,-1031,3816,-646,3703,-516,3483,-812
"대전광역시","전라남도",1815,-162,1929,-220,1714,-395,1755,-78,1799,-227,1798,-221,1672,-333,1603,-397,1569,-458,1719,-334,1610,-367,1682,-265,1446,-324
"대전광역시","경상북도",3190,-284,3144,-546,2841,-800,2773,-660,2851,-568,2914,-594,2767,-776,2600,-873,2599,-912,2834,-656,2680,-1159,2905,-887,2554,-837
"대전광역시","경상남도",2549,-404,2532,-506,2349,-474,2389,-454,2483,-94,2420,-193,2174,-614,2004,-646,2063,-657,2046,-552,1981,-823,2031,-846,1993,-663
"대전광역시","제주특별자치도",452,-70,482,43,540,78,685,205,739,169,967,364,884,253,835,147,816,127,844,121,836,117,860,87,880,142
"울산광역시","전국",164671,3525,163091,-1872,157427,-4006,157185,-2307,173229,-2786,170473,80,155812,7622,147116,11917,140576,12654,152228,10172,149696,13584,143554,13674,117283,9536
"울산광역시","서울특별시",6484,1742,6278,1090,6799,1108,6347,805,6458,411,6954,1004,6750,1648,6708,2448,6849,2763,6955,3128,7062,2977,6686,2621,6239,2655
"울산광역시","부산광역시",10242,-864,9762,-2104,9511,-1954,10589,-1011,11090,-1215,11255,-555,10246,231,10467,1044,9667,591,9534,450,11595,2484,10253,1141,9378,1189
"울산광역시","대구광역시",3150,-401,2874,-712,3054,-790,3282,-551,3275,-560,3189,-486,3216,-50,3335,731,3056,455,2856,26,3242,301,2815,86,2946,384
"울산광역시","인천광역시",989,40,968,-113,1045,-71,1054,-235,1085,2,1249,-110,1135,55,1033,71,1095,317,1199,442,1053,260,1015,175,1056,309
"울산광역시","광주광역시",405,-32,330,-98,377,-265,379,-69,406,-112,482,-56,416,18,392,70,409,67,308,-47,372,17,352,95,275,-63
"울산광역시","대전광역시",929,184,855,127,863,-89,779,-43,839,-70,890,-49,984,322,907,286,844,249,797,156,865,165,843,242,819,288
"울산광역시","울산광역시",113357,0,114569,0,109156,0,107253,0,122133,0,116131,0,103342,0,94789,0,88692,0,101983,0,95637,0,90468,0,71163,0
"울산광역시","세종특별자치시",-,-,-,-,61,-15,87,9,188,98,306,190,273,168,352,233,361,230,335,155,336,166,328,149,317,119
"울산광역시","경기도",5539,806,5598,454,5667,-33,5863,-60,5321,-747,5847,-242,5955,1243,6435,2625,6660,2700,6918,2951,6907,2891,7027,3001,6183,2309
"울산광역시","강원도",1094,-68,967,-83,947,-287,897,-198,989,-157,1128,25,1040,101,947,181,927,190,950,266,992,304,987,293,794,209
"울산광역시","충청북도",1061,306,948,166,859,-95,891,-282,891,26,1162,105,990,274,977,344,1193,617,1036,367,974,286,1165,450,1066,417
"울산광역시","충청남도",1591,547,1446,140,1353,195,1364,-12,1452,225,1555,87,1493,357,1648,701,1660,652,1489,513,1630,656,1673,659,1478,523
"울산광역시","전라북도",1302,559,1074,128,933,-148,1198,81,1134,35,935,-456,839,7,740,-548,697,-402,737,-108,719,-64,609,34,593,90
"울산광역시","전라남도",989,12,897,-220,919,-112,972,-101,1064,23,1222,64,1099,122,1175,286,1091,214,1088,124,1093,154,951,122,834,89
"울산광역시","경상북도",8080,56,8018,-68,7794,-448,7808,123,7801,-480,8715,73,8264,1357,7875,1489,8911,2751,8023,1281,9062,2176,9892,3261,7327,1129
"울산광역시","경상남도",9104,663,8178,-571,7695,-999,8022,-807,8611,-365,8772,246,9026,1455,8521,1544,7671,937,7278,291,7409,597,7871,1225,6277,-100
"울산광역시","제주특별자치도",355,-25,329,-8,394,-3,400,44,492,100,681,240,744,314,815,412,793,323,742,177,748,214,619,120,538,-11
"세종특별자치시","전국",-,-,-,-,15291,-17493,15109,-8696,23070,-33456,30950,-53044,35236,-29816,47383,-34690,55000,-31433,58674,-23724,65909,-13025,62827,-14085,55401,-10128
"세종특별자치시","서울특별시",-,-,-,-,1015,-1983,1095,-1756,1497,-4984,2228,-5322,2812,-3131,3195,-2618,3724,-2137,4488,-1431,5107,-439,4662,-918,4550,-342
"세종특별자치시","부산광역시",-,-,-,-,147,-298,184,-77,235,-245,364,-565,343,-512,443,-419,530,-413,577,-321,600,-367,573,-344,474,-371
"세종특별자치시","대구광역시",-,-,-,-,91,-170,109,-124,192,-334,219,-660,263,-379,340,-487,377,-510,461,-357,511,-368,464,-377,527,-340
"세종특별자치시","인천광역시",-,-,-,-,264,-333,312,-280,322,-668,451,-1045,537,-861,632,-633,771,-354,901,-285,901,-216,777,-261,777,-117
"세종특별자치시","광주광역시",-,-,-,-,86,-192,111,-128,195,-398,236,-690,237,-469,326,-451,314,-583,386,-368,507,-330,460,-334,427,-182
"세종특별자치시","대전광역시",-,-,-,-,2367,-6540,2350,-1662,2744,-11349,3684,-22104,4606,-12969,5871,-17836,6365,-15815,7032,-13282,8254,-7171,7376,-6668,7024,-3618
"세종특별자치시","울산광역시",-,-,-,-,76,15,78,-9,90,-98,116,-190,105,-168,119,-233,131,-230,180,-155,170,-166,179,-149,198,-119
"세종특별자치시","세종특별자치시",-,-,-,-,4704,0,4105,0,10455,0,13990,0,14546,0,23245,0,28450,0,28381,0,30045,0,30037,0,25292,0
"세종특별자치시","경기도",-,-,-,-,1488,-3902,1602,-2372,1840,-5701,2585,-7087,3436,-3693,3755,-3251,4322,-2817,5070,-1853,5728,-402,5276,-996,4767,-1313
"세종특별자치시","강원도",-,-,-,-,193,-118,238,-34,219,-271,316,-449,410,-300,482,-315,449,-421,581,-107,616,-154,633,-204,549,-156
"세종특별자치시","충청북도",-,-,-,-,1970,-827,1875,-919,1868,-4072,2308,-6753,2626,-2918,2815,-3455,2973,-3005,3388,-1560,5253,-8,4128,-1149,3286,-1532
"세종특별자치시","충청남도",-,-,-,-,2074,-2440,2205,-710,2344,-3759,2905,-5479,3351,-2517,3881,-2706,4167,-2531,4330,-2165,5105,-1643,5226,-1081,4489,-677
"세종특별자치시","전라북도",-,-,-,-,219,-288,245,-252,310,-597,411,-1011,633,-668,707,-844,689,-885,828,-646,973,-575,907,-548,937,-376
"세종특별자치시","전라남도",-,-,-,-,163,-104,129,-133,186,-216,251,-448,316,-325,369,-348,444,-427,489,-336,516,-305,532,-213,510,-182
"세종특별자치시","경상북도",-,-,-,-,199,-148,218,-135,269,-333,403,-574,440,-389,452,-556,556,-561,679,-461,673,-546,676,-411,745,-330
